Front;Back
I'm building the Docker image.;Estou construindo a imagem Docker.
The container is running.;O container está rodando.
Let's check the container logs.;Vamos verificar os logs do container.
I'm stopping the container.;Estou parando o container.
The image was pushed to the registry.;A imagem foi enviada para o registry.
We need to pull the latest image.;Precisamos baixar a imagem mais recente.
I'm creating a Dockerfile.;Estou criando um Dockerfile.
Let's add this layer to reduce image size.;Vamos adicionar essa camada para reduzir o tamanho da imagem.
I'm using multi-stage builds.;Estou usando builds multi-stage.
The container is consuming too much memory.;O container está consumindo muita memória.
Let's set resource limits.;Vamos definir limites de recursos.
I'm configuring the container environment variables.;Estou configurando as variáveis de ambiente do container.
The health check is failing.;O health check está falhando.
We need to expose port 8080.;Precisamos expor a porta 8080.
I'm mounting a volume.;Estou montando um volume.
The data is persisted in the volume.;Os dados estão persistidos no volume.
Let's create a Docker network.;Vamos criar uma rede Docker.
I'm connecting the containers to the network.;Estou conectando os containers à rede.
The services are defined in docker-compose.yml.;Os serviços estão definidos no docker-compose.yml.
I'm running docker-compose up.;Estou rodando docker-compose up.
Let's scale this service to 3 replicas.;Vamos escalar este serviço para 3 réplicas.
I'm bringing down the stack.;Estou derrubando o stack.
The container exited with code 1.;O container saiu com código 1.
Let's investigate why it crashed.;Vamos investigar por que ele crashou.
I'm deploying to Kubernetes.;Estou fazendo deploy no Kubernetes.
The pod is in CrashLoopBackOff state.;O pod está em estado CrashLoopBackOff.
Let's check the pod events.;Vamos verificar os eventos do pod.
I'm describing the pod.;Estou descrevendo o pod.
The deployment is rolling out.;O deployment está sendo lançado.
We need to update the deployment manifest.;Precisamos atualizar o manifesto do deployment.
I'm applying the configuration.;Estou aplicando a configuração.
Let's create a namespace for this project.;Vamos criar um namespace para este projeto.
I'm setting the context to the production cluster.;Estou definindo o contexto para o cluster de produção.
The service is exposed via LoadBalancer.;O serviço está exposto via LoadBalancer.
We need to configure an Ingress.;Precisamos configurar um Ingress.
I'm adding an Ingress rule.;Estou adicionando uma regra de Ingress.
The TLS certificate is configured.;O certificado TLS está configurado.
Let's enable HTTPS for this domain.;Vamos habilitar HTTPS para este domínio.
I'm creating a ConfigMap.;Estou criando um ConfigMap.
The configuration is loaded from the ConfigMap.;A configuração é carregada do ConfigMap.
