Front;Back
Can we jump on a quick call?;Podemos fazer uma call rápida?
Let me know when you're available.;Me avise quando você estiver disponível.
I'm free this afternoon.;Estou livre esta tarde.
What time works for you?;Que horário funciona para você?
Let's schedule a meeting.;Vamos agendar uma reunião.
I'll send a calendar invite.;Vou enviar um convite de calendário.
Please accept the meeting invitation.;Por favor, aceite o convite da reunião.
I need to reschedule our meeting.;Preciso remarcar nossa reunião.
Can we move it to tomorrow?;Podemos mover para amanhã?
I have a conflict at that time.;Tenho um conflito nesse horário.
Let me check my calendar.;Deixa eu verificar minha agenda.
I'll get back to you shortly.;Vou te retornar em breve.
Thanks for the heads-up!;Valeu pelo aviso!
I appreciate the update.;Agradeço o update.
Keep me posted.;Me mantenha informado.
I'll keep you in the loop.;Vou te manter no loop.
Let me loop in the team.;Deixa eu incluir o time.
CC'ing the team on this.;Colocando o time em cópia nisso.
Please check your email.;Por favor, verifique seu email.
I sent you a message on Slack.;Enviei uma mensagem para você no Slack.
Did you see my message?;Você viu minha mensagem?
I'll follow up on this.;Vou dar seguimento nisso.
Following up on our conversation.;Dando seguimento à nossa conversa.
As we discussed earlier.;Como discutimos anteriormente.
Per our conversation.;Conforme nossa conversa.
Just to clarify.;Só para esclarecer.
To summarize our discussion.;Para resumir nossa discussão.
Here are the action items.;Aqui estão os itens de ação.
Let me recap what we agreed on.;Deixa eu recapitular no que concordamos.
Moving forward, we'll.;Daqui para frente, vamos.
Going forward, let's.;Indo adiante, vamos.
From now on, we should.;De agora em diante, devemos.
Let me sync with the team first.;Deixa eu me alinhar com o time primeiro.
I need to check with my manager.;Preciso verificar com meu gerente.
I'll run this by the team.;Vou passar isso pelo time.
Let's get everyone on the same page.;Vamos deixar todo mundo na mesma página.
We need to align on this.;Precisamos nos alinhar nisso.
Let's touch base tomorrow.;Vamos nos conectar amanhã.
Can we circle back on this later?;Podemos voltar nisso mais tarde?
Let's table this for now.;Vamos deixar isso de lado por enquanto.
We'll revisit this next week.;Vamos revisitar isso semana que vem.
Let's park this discussion.;Vamos estacionar essa discussão.
We're getting off topic.;Estamos saindo do tópico.
Let's stay focused on the agenda.;Vamos manter o foco na agenda.
We're running out of time.;Estamos ficando sem tempo.
Let's wrap this up.;Vamos encerrar isso.
We need to move on.;Precisamos seguir em frente.
Let's take this offline.;Vamos tirar isso offline.
We can discuss this separately.;Podemos discutir isso separadamente.
Let's set up a separate meeting.;Vamos marcar uma reunião separada.
I'll schedule time to discuss this.;Vou agendar tempo para discutir isso.
Thanks everyone for joining.;Obrigado a todos por participarem.
Let's get started.;Vamos começar.
Who wants to kick off?;Quem quer começar?
I'll share my screen.;Vou compartilhar minha tela.
Can you see my screen?;Você consegue ver minha tela?
You're on mute.;Você está no mudo.
Can you hear me?;Você consegue me ouvir?
There's some background noise.;Tem um ruído de fundo.
Your audio is cutting out.;Seu áudio está cortando.
Can you repeat that?;Você pode repetir isso?
Could you speak up?;Você pode falar mais alto?
Let me turn on my camera.;Deixa eu ligar minha câmera.
My camera is not working.;Minha câmera não está funcionando.
I'm having technical difficulties.;Estou tendo dificuldades técnicas.
Let me reconnect.;Deixa eu reconectar.
I'll dial in instead.;Vou discar ao invés disso.
Can you share the link?;Você pode compartilhar o link?
I'll drop the link in the chat.;Vou soltar o link no chat.
Check the meeting notes.;Verifique as notas da reunião.
I'll take notes during the meeting.;Vou tomar notas durante a reunião.
Let me document this.;Deixa eu documentar isso.
I'll send the meeting minutes.;Vou enviar a ata da reunião.
Please review the document.;Por favor, revise o documento.
I shared it on Google Docs.;Compartilhei no Google Docs.
Feel free to add comments.;Fique à vontade para adicionar comentários.
Let me know if you have questions.;Me avise se tiver dúvidas.
I'm happy to clarify.;Fico feliz em esclarecer.
Does that make sense?;Isso faz sentido?
Are we all clear on this?;Estamos todos claros nisso?
Any questions so far?;Alguma pergunta até agora?
Does anyone have concerns?;Alguém tem preocupações?
What do you think?;O que você acha?
I'd like to hear your thoughts.;Gostaria de ouvir seus pensamentos.
What's your opinion?;Qual é sua opinião?
Do you agree?;Você concorda?
I see your point.;Entendo seu ponto.
That's a good point.;Esse é um bom ponto.
I agree with that.;Concordo com isso.
I'm on board with this.;Estou de acordo com isso.
That works for me.;Funciona para mim.
Sounds good.;Parece bom.
I'm fine with that.;Estou bem com isso.
Let's go with that approach.;Vamos com essa abordagem.
I think we should consider.;Acho que devemos considerar.
Have we thought about.;Já pensamos em.
What if we.;E se nós.
Another option would be.;Outra opção seria.
An alternative approach is.;Uma abordagem alternativa é.
We could also.;Também poderíamos.
Let's weigh the pros and cons.;Vamos pesar os prós e contras.
What are the trade-offs?;Quais são os trade-offs?
What's the downside?;Qual é a desvantagem?
What are the risks?;Quais são os riscos?
Let's do a risk assessment.;Vamos fazer uma avaliação de risco.
We need to mitigate the risks.;Precisamos mitigar os riscos.
What's the impact?;Qual é o impacto?
How does this affect users?;Como isso afeta os usuários?
Let's think about the user experience.;Vamos pensar na experiência do usuário.
What's the timeline?;Qual é a linha do tempo?
How long will this take?;Quanto tempo isso vai levar?
When can we deliver this?;Quando podemos entregar isso?
What's the ETA?;Qual é o ETA?
We're aiming for next Friday.;Estamos mirando para sexta que vem.
The deadline is tight.;O prazo está apertado.
We might need more time.;Talvez precisemos de mais tempo.
Can we extend the deadline?;Podemos estender o prazo?
Let's set realistic expectations.;Vamos definir expectativas realistas.
I'll update you on the progress.;Vou atualizar você sobre o progresso.
Here's the status update.;Aqui está o update de status.
We're making good progress.;Estamos fazendo bom progresso.
Everything is on track.;Tudo está nos trilhos.
We're ahead of schedule.;Estamos adiantados no cronograma.
We're slightly behind.;Estamos ligeiramente atrasados.
We need to catch up.;Precisamos alcançar.
Let's prioritize this.;Vamos priorizar isso.
This is urgent.;Isso é urgente.
This can wait.;Isso pode esperar.
Let's focus on high-priority items.;Vamos focar em itens de alta prioridade.
We should tackle this first.;Devemos atacar isso primeiro.
Let's handle the critical issues.;Vamos lidar com os problemas críticos.
This is a blocker.;Isso é um bloqueador.
We can't proceed without this.;Não podemos prosseguir sem isso.
We're dependent on the other team.;Dependemos do outro time.
We're waiting for their input.;Estamos esperando o input deles.
Let's reach out to them.;Vamos entrar em contato com eles.
I'll ping them.;Vou mandar mensagem para eles.
I'll escalate this if needed.;Vou escalar isso se necessário.
Let's bring this to management's attention.;Vamos trazer isso à atenção da gestão.
We need executive buy-in.;Precisamos do apoio dos executivos.
Let's get approval first.;Vamos obter aprovação primeiro.
I'll draft a proposal.;Vou rascunhar uma proposta.
Let's present this to stakeholders.;Vamos apresentar isso aos stakeholders.
We need to make a business case.;Precisamos fazer um business case.
What's the ROI?;Qual é o ROI?
How much will this cost?;Quanto isso vai custar?
What's the budget?;Qual é o orçamento?
We're over budget.;Estamos acima do orçamento.
We need to cut costs.;Precisamos cortar custos.
Let's find a more economical solution.;Vamos encontrar uma solução mais econômica.
This is cost-effective.;Isso é custo-efetivo.
It's worth the investment.;Vale o investimento.
Let's allocate resources.;Vamos alocar recursos.
We need more developers.;Precisamos de mais desenvolvedores.
The team is understaffed.;O time está com poucos funcionários.
We're overloaded with work.;Estamos sobrecarregados com trabalho.
Let's distribute the workload.;Vamos distribuir a carga de trabalho.
Can someone help with this?;Alguém pode ajudar com isso?
I can take that on.;Posso assumir isso.
I'll handle this.;Vou cuidar disso.
Count me in.;Conte comigo.
I'm swamped right now.;Estou atolado agora.
I'm at full capacity.;Estou na capacidade total.
I can't take on more work.;Não posso assumir mais trabalho.
Let's reassign this task.;Vamos reatribuir esta tarefa.
Who's available to help?;Quem está disponível para ajudar?
Let's collaborate on this.;Vamos colaborar nisso.
Teamwork makes the dream work.;Trabalho em equipe faz o sonho funcionar.
Thanks for your support.;Obrigado pelo seu apoio.
I appreciate your help.;Agradeço sua ajuda.
Great job everyone!;Ótimo trabalho pessoal!
Well done!;Bem feito!
Nice work!;Bom trabalho!
That's impressive.;Isso é impressionante.
You nailed it!;Você arrasou!
Keep up the good work.;Continue com o bom trabalho.
I'm impressed with the results.;Estou impressionado com os resultados.
This exceeded expectations.;Isso excedeu as expectativas.
Let's celebrate this win.;Vamos celebrar essa vitória.
We deserve a pat on the back.;Merecemos um tapinha nas costas.
Thanks for going the extra mile.;Obrigado por fazer o extra.
I couldn't have done it without you.;Não poderia ter feito sem você.
This was a team effort.;Isso foi um esforço de equipe.
Everyone contributed.;Todo mundo contribuiu.
Let's give credit where it's due.;Vamos dar crédito onde é devido.
Kudos to the team!;Parabéns ao time!
Shout out to everyone who helped.;Reconhecimento a todos que ajudaram.
I want to acknowledge the hard work.;Quero reconhecer o trabalho duro.
Thank you all for your dedication.;Obrigado a todos pela dedicação.
Your commitment is appreciated.;Seu comprometimento é apreciado.
Let's maintain this positive energy.;Vamos manter essa energia positiva.
