Front;Back
Tell me about yourself.;Fale-me sobre você.
Walk me through your resume.;Me guie pelo seu currículo.
Why are you interested in this position?;Por que você está interessado nesta posição?
Why do you want to work here?;Por que você quer trabalhar aqui?
What do you know about our company?;O que você sabe sobre nossa empresa?
What interests you about this role?;O que te interessa neste cargo?
What are your career goals?;Quais são seus objetivos de carreira?
Where do you see yourself in 5 years?;Onde você se vê em 5 anos?
What are your salary expectations?;Quais são suas expectativas salariais?
When can you start?;Quando você pode começar?
Why are you leaving your current job?;Por que você está saindo do seu emprego atual?
What's your notice period?;Qual é seu período de aviso prévio?
Tell me about a challenging project you worked on.;Fale-me sobre um projeto desafiador em que trabalhou.
Describe a time you faced a difficult problem.;Descreva uma vez que enfrentou um problema difícil.
How did you solve it?;Como você resolveu?
What was your approach?;Qual foi sua abordagem?
Can you walk me through your thought process?;Você pode me guiar pelo seu processo de pensamento?
What would you do differently?;O que você faria de diferente?
Tell me about a time you failed.;Fale-me sobre uma vez que você falhou.
What did you learn from that experience?;O que você aprendeu com essa experiência?
Describe a conflict you had with a teammate.;Descreva um conflito que teve com um colega de equipe.
How do you handle disagreements?;Como você lida com discordâncias?
Tell me about a time you showed leadership.;Fale-me sobre uma vez que demonstrou liderança.
Have you ever mentored someone?;Você já mentorou alguém?
Describe your leadership style.;Descreva seu estilo de liderança.
How do you prioritize tasks?;Como você prioriza tarefas?
Tell me about a time you had to meet a tight deadline.;Fale-me sobre uma vez que teve que cumprir um prazo apertado.
How do you handle pressure?;Como você lida com pressão?
What motivates you?;O que te motiva?
What's your greatest strength?;Qual é sua maior força?
What's your biggest weakness?;Qual é sua maior fraqueza?
How do you stay updated with technology?;Como você se mantém atualizado com tecnologia?
What technical blogs do you follow?;Quais blogs técnicos você segue?
What was the last tech book you read?;Qual foi o último livro técnico que você leu?
Do you contribute to open source?;Você contribui para open source?
Do you have any side projects?;Você tem algum projeto pessoal?
Tell me about your personal projects.;Fale-me sobre seus projetos pessoais.
What technologies are you passionate about?;Quais tecnologias você é apaixonado?
What's your experience with Java?;Qual é sua experiência com Java?
How long have you been working with Spring?;Há quanto tempo você trabalha com Spring?
Are you familiar with microservices?;Você está familiarizado com microsserviços?
Have you worked with Docker?;Você já trabalhou com Docker?
What's your experience with Kubernetes?;Qual é sua experiência com Kubernetes?
Have you used AWS or other cloud platforms?;Você já usou AWS ou outras plataformas cloud?
Tell me about your database experience.;Fale-me sobre sua experiência com banco de dados.
SQL or NoSQL - which do you prefer?;SQL ou NoSQL - qual você prefere?
What design patterns are you familiar with?;Quais padrões de design você conhece?
Can you explain the Singleton pattern?;Você pode explicar o padrão Singleton?
What is dependency injection?;O que é injeção de dependência?
Explain the difference between abstract class and interface.;Explique a diferença entre classe abstrata e interface.
What are the SOLID principles?;Quais são os princípios SOLID?
Can you explain the Single Responsibility Principle?;Você pode explicar o Princípio da Responsabilidade Única?
What is polymorphism?;O que é polimorfismo?
Explain inheritance in Java.;Explique herança em Java.
What is encapsulation?;O que é encapsulamento?
What are Java collections?;O que são coleções Java?
